sp,dutty
0.58,0.0
0.58,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.41,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.4,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.42,0.0
0.5,0.0
0.61,0.0
0.74,0.0
0.9,0.0
1.11,0.0
1.35,0.0
1.64,0.0
1.97,0.0
2.37,0.0
2.84,0.0
3.38,0.0
4.0,0.0
4.73,0.0
5.77,0.0
7.05,0.0
8.62,0.0
10.58,0.0
12.39,0.0
14.41,3.0
17.13,7.0
20.39,13.0
24.1,22.0
28.48,32.0
33.67,48.0
39.64,70.0
46.44,100.0
54.12,135.0
62.64,175.0
72.03,210.0
82.85,245.0
94.68,255.0
107.36,255.0
119.58,255.0
131.98,255.0
144.13,255.0
156.92,255.0
168.06,255.0
179.83,255.0
189.71,255.0
198.91,255.0
208.31,255.0
217.15,255.0
224.06,255.0
230.27,255.0
235.84,255.0
240.69,255.0
245.97,255.0
250.87,255.0
254.54,255.0
257.8,255.0
260.78,255.0
263.38,255.0
265.56,255.0
267.39,255.0
269.09,255.0
270.56,255.0
271.3,255.0
271.8,255.0
272.13,255.0
272.23,255.0
272.17,255.0
271.97,255.0
271.7,255.0
271.33,255.0
270.89,255.0
270.41,255.0
269.84,255.0
269.04,255.0
268.17,255.0
267.2,255.0
266.2,255.0
264.91,255.0
263.72,255.0
262.32,255.0
260.82,255.0
259.12,255.0
257.32,255.0
255.53,255.0
253.53,255.0
251.58,255.0
249.46,255.0
247.3,255.0
245.0,255.0
242.72,255.0
240.38,255.0
238.02,255.0
235.35,255.0
232.66,255.0
229.86,255.0
227.01,255.0
224.06,255.0
221.09,255.0
217.99,255.0
214.93,255.0
211.88,255.0
208.75,255.0
205.63,255.0
202.58,255.0
199.61,255.0
195.96,250.0
192.24,235.0
188.38,210.0
184.39,190.0
180.23,170.0
175.99,145.0
171.7,125.0
167.36,105.0
163.03,85.0
158.72,60.0
154.38,35.0
150.14,0.0
146.0,0.0
141.91,0.0
137.93,5.0
134.13,13.0
130.44,25.0
126.86,42.0
123.45,60.0
120.21,81.0
117.06,108.0
114.07,136.0
111.22,166.0
108.51,200.0
105.99,215.0
103.7,225.0
101.57,235.0
99.59,245.0
97.76,255.0
96.05,255.0
94.47,255.0
93.05,255.0
91.68,255.0
90.4,255.0
89.26,255.0
88.2,255.0
87.2,255.0
86.28,255.0
85.41,255.0
84.6,255.0
83.8,255.0
83.09,255.0
82.42,255.0
81.79,255.0
80.71,255.0
79.57,255.0
78.37,255.0
77.08,255.0
75.65,255.0
74.2,255.0
72.69,255.0
71.13,255.0
69.5,255.0
67.85,255.0
66.17,255.0
64.48,255.0
63.33,255.0
62.27,255.0
61.37,255.0
60.59,255.0
59.99,255.0
59.53,255.0
59.14,255.0
59.13,255.0
59.19,255.0
59.38,255.0
59.7,255.0
60.08,255.0
60.52,255.0
61.24,255.0
62.02,255.0
62.89,255.0
63.85,255.0
65.02,255.0
66.37,255.0
67.85,255.0
69.46,255.0
71.19,255.0
73.21,255.0
75.35,255.0
77.66,255.0
80.41,255.0
83.13,255.0
86.22,255.0
89.55,255.0
93.13,255.0
96.88,255.0
100.84,250.0
105.37,225.0
109.75,205.0
114.72,180.0
119.97,155.0
124.93,130.0
130.49,100.0
136.23,70.0
142.06,45.0
147.89,0.0
153.82,0.0
159.7,0.0
166.36,7.0
172.28,21.0
178.08,40.0
183.8,64.0
189.39,95.0
194.6,129.0
199.59,168.0
204.43,212.0
208.98,255.0
213.24,255.0
217.31,255.0
221.93,255.0
225.7,255.0
229.22,255.0
232.6,255.0
235.77,255.0
238.68,255.0
241.36,255.0
243.89,255.0
246.09,255.0
247.66,255.0
248.97,255.0
250.06,255.0
251.42,255.0
252.12,255.0
253.15,255.0
253.67,255.0
254.1,255.0
254.41,255.0
254.65,255.0
254.46,255.0
254.4,255.0
254.04,255.0
253.89,255.0
253.64,255.0
253.37,255.0
252.84,255.0
252.28,255.0
251.64,255.0
250.97,255.0
250.07,255.0
249.11,255.0
248.09,255.0
246.97,255.0
245.79,255.0
244.41,255.0
242.98,255.0
241.48,255.0
239.87,255.0
238.2,255.0
236.46,255.0
234.55,255.0
232.57,255.0
230.44,255.0
228.23,255.0
225.91,255.0
223.51,255.0
221.04,255.0
218.62,255.0
215.8,255.0
212.86,255.0
209.89,255.0
206.81,255.0
203.56,255.0
200.26,245.0
196.93,225.0
193.51,210.0
190.04,195.0
186.63,175.0
183.29,160.0
179.92,140.0
176.64,125.0
173.34,110.0
170.13,95.0
167.02,80.0
164.02,65.0
161.06,50.0
158.26,35.0
155.56,0.0
152.96,0.0
150.51,0.0
148.1,0.0
145.78,0.0
143.65,4.0
141.6,10.0
139.57,18.0
137.72,28.0
135.93,40.0
134.25,51.0
134.43,59.0
134.95,68.0
135.57,72.0
136.36,75.0
137.51,70.0
139.04,60.0
140.59,55.0
142.32,45.0
144.25,35.0
146.33,25.0
148.62,0.0
150.84,0.0
153.16,0.0
155.7,0.0
158.12,0.0
160.55,4.0
163.12,11.0
165.73,19.0
168.49,32.0
171.01,47.0
173.53,63.0
176.23,84.0
176.5,96.0
176.88,108.0
176.88,120.0
176.47,120.0
175.57,115.0
174.53,110.0
173.26,105.0
171.75,95.0
170.06,90.0
168.24,80.0
166.28,70.0
164.19,60.0
162.0,45.0
159.71,35.0
157.31,25.0
154.82,0.0
152.3,0.0
149.73,0.0
147.1,0.0
144.46,4.0
141.77,11.0
139.08,19.0
136.44,32.0
133.8,47.0
131.16,63.0
128.87,84.0
126.63,104.0
124.55,126.0
122.57,150.0
120.74,160.0
119.06,165.0
117.42,175.0
115.92,185.0
114.51,190.0
113.22,195.0
112.04,200.0
110.94,210.0
109.86,215.0
108.92,220.0
108.0,225.0
107.13,225.0
106.34,230.0
105.57,235.0
104.87,240.0
104.18,240.0
103.6,245.0
103.01,245.0
102.45,250.0
101.96,255.0
101.46,255.0
100.86,255.0
100.28,255.0
99.67,255.0
99.05,255.0
98.42,255.0
97.8,255.0
97.16,255.0
96.53,255.0
95.89,255.0
95.24,255.0
94.62,255.0
93.99,255.0
93.38,255.0
92.77,255.0
92.18,255.0
91.59,255.0
91.01,255.0
90.43,255.0
89.87,255.0
89.32,255.0
88.77,255.0
88.24,255.0
87.86,255.0
87.52,255.0
87.22,255.0
86.96,255.0
86.76,255.0
86.59,255.0
86.57,255.0
86.61,255.0
86.73,255.0
86.88,255.0
87.06,255.0
87.33,255.0
87.76,255.0
88.24,255.0
88.79,255.0
89.49,255.0
90.3,255.0
91.31,255.0
92.4,255.0
93.63,255.0
95.14,255.0
96.8,255.0
98.65,255.0
100.69,255.0
103.18,245.0
105.92,235.0
108.98,220.0
112.36,200.0
116.04,180.0
120.03,160.0
124.31,140.0
128.92,120.0
133.78,95.0
139.48,65.0
144.96,40.0
150.68,0.0
156.52,0.0
162.43,0.0
168.27,8.0
174.11,22.0
179.85,40.0
185.47,66.0
190.95,95.0
196.98,132.0
202.11,175.0
207.99,220.0
212.92,255.0
217.65,255.0
222.04,255.0
226.16,255.0
229.96,255.0
233.54,255.0
236.76,255.0
239.78,255.0
241.93,255.0
244.37,255.0
246.61,255.0
248.68,255.0
250.52,255.0
251.76,255.0
253.28,255.0
254.68,255.0
255.46,255.0
256.12,255.0
256.64,255.0
257.02,255.0
257.2,255.0
257.32,255.0
257.06,255.0
256.74,255.0
256.56,255.0
256.28,255.0
255.7,255.0
255.11,255.0
254.69,255.0
253.99,255.0
253.22,255.0
252.45,255.0
251.49,255.0
250.6,255.0
249.67,255.0
248.55,255.0
247.37,255.0
246.16,255.0
244.76,255.0
243.36,255.0
241.8,255.0
240.06,255.0
238.23,255.0
236.42,255.0
234.54,255.0
232.49,255.0
230.36,255.0
228.02,255.0
225.51,255.0
222.89,255.0
220.15,255.0
217.29,255.0
214.3,255.0
211.24,255.0
208.2,255.0
205.05,255.0
201.84,245.0
198.71,230.0
195.59,215.0
192.43,200.0
189.28,185.0
186.25,170.0
183.2,155.0
180.23,140.0
177.34,125.0
174.08,110.0
170.79,90.0
167.5,75.0
164.14,60.0
160.72,40.0
157.29,25.0
153.85,0.0
150.47,0.0
147.09,0.0
143.77,4.0
140.51,12.0
137.32,22.0
134.24,36.0
131.23,52.0
128.33,72.0
125.49,94.0
122.76,120.0
120.14,144.0
117.63,175.0
115.22,185.0
112.85,200.0
110.57,210.0
108.39,220.0
106.28,230.0
104.26,240.0
102.3,250.0
100.47,255.0
98.7,255.0
96.99,255.0
95.39,255.0
93.83,255.0
92.37,255.0
90.95,255.0
89.62,255.0
88.32,255.0
87.09,255.0
85.94,255.0
84.35,255.0
82.75,255.0
81.1,255.0
79.36,255.0
77.53,255.0
75.65,255.0
73.76,255.0
71.82,255.0
69.87,255.0
67.91,255.0
65.94,255.0
64.64,255.0
63.45,255.0
62.41,255.0
61.55,255.0
60.93,255.0
60.43,255.0
60.0,255.0
59.71,255.0
59.72,255.0
59.83,255.0
60.0,255.0
60.26,255.0
60.67,255.0
61.11,255.0
61.84,255.0
62.67,255.0
63.59,255.0
64.5,255.0
65.52,255.0
66.71,255.0
68.12,255.0
69.54,255.0
71.03,255.0
72.9,255.0
74.93,255.0
76.93,255.0
79.5,255.0
82.32,255.0
85.3,255.0
88.51,255.0
92.0,255.0
95.7,255.0
99.61,255.0
104.14,240.0
108.95,220.0
114.0,190.0
119.33,165.0
124.99,140.0
130.78,110.0
136.82,80.0
142.4,50.0
148.52,0.0
153.98,0.0
159.87,0.0
165.63,6.0
171.34,19.0
176.88,36.0
182.28,60.0
187.55,87.0
192.6,120.0
197.37,157.0
202.01,200.0
206.44,243.0
210.61,255.0
215.46,255.0
219.38,255.0
223.07,255.0
226.6,255.0
229.98,255.0
233.09,255.0
236.02,255.0
238.72,255.0
241.21,255.0
243.5,255.0
245.15,255.0
247.05,255.0
248.85,255.0
250.52,255.0
252.01,255.0
253.44,255.0
254.32,255.0
255.08,255.0
255.68,255.0
256.1,255.0
256.4,255.0
256.6,255.0
256.66,255.0
256.67,255.0
256.61,255.0
256.51,255.0
256.32,255.0
255.73,255.0
255.2,255.0
254.6,255.0
253.9,255.0
252.97,255.0
252.01,255.0
250.96,255.0
249.97,255.0
248.8,255.0
247.43,255.0
245.97,255.0
244.44,255.0
242.84,255.0
241.27,255.0
239.67,255.0
237.8,255.0
235.86,255.0
233.73,255.0
231.5,255.0
229.15,255.0
226.79,255.0
224.4,255.0
221.94,255.0
219.04,255.0
216.02,255.0
212.83,255.0
209.48,255.0
206.0,255.0
202.4,250.0
198.73,230.0
195.0,210.0
191.22,195.0
187.4,175.0
183.6,155.0
179.72,135.0
175.94,115.0
172.2,100.0
168.58,80.0
165.02,65.0
161.58,45.0
157.82,25.0
154.07,0.0
150.4,0.0
146.75,0.0
143.07,4.0
139.46,13.0
135.94,25.0
132.45,40.0
129.05,57.0
125.78,81.0
122.6,105.0
119.55,132.0
116.59,162.0
113.75,195.0
111.03,205.0
108.39,220.0
105.91,235.0
103.53,245.0
101.26,255.0
99.09,255.0
97.0,255.0
95.05,255.0
93.17,255.0
91.47,255.0
89.88,255.0
88.39,255.0
87.0,255.0
85.7,255.0
84.52,255.0
83.43,255.0
82.4,255.0
81.44,255.0
80.54,255.0
79.7,255.0
78.91,255.0
78.16,255.0
77.46,255.0
76.76,255.0
76.1,255.0
75.48,255.0
74.89,255.0
74.33,255.0
73.81,255.0
73.31,255.0
72.83,255.0
72.38,255.0
72.12,255.0
71.96,255.0
71.81,255.0
71.72,255.0
71.73,255.0
71.74,255.0
71.83,255.0
72.13,255.0
72.49,255.0
72.92,255.0
73.36,255.0
73.85,255.0
74.51,255.0
75.28,255.0
76.06,255.0
76.9,255.0
77.8,255.0
78.95,255.0
80.16,255.0
81.47,255.0
82.87,255.0
84.52,255.0
86.49,255.0
88.41,255.0
90.7,255.0
93.21,255.0
95.93,255.0
99.17,255.0
102.38,250.0
106.16,230.0
110.24,210.0
114.23,190.0
118.76,170.0
123.63,145.0
128.7,120.0
134.01,90.0
139.05,65.0
144.59,40.0
150.24,0.0
155.93,0.0
161.61,0.0
167.27,7.0
172.87,20.0
178.4,39.0
183.78,62.0
189.04,92.0
193.53,123.0
198.23,161.0
202.68,200.0
206.94,243.0
210.97,255.0
214.83,255.0
218.47,255.0
221.96,255.0
225.26,255.0
228.36,255.0
231.23,255.0
233.99,255.0
236.55,255.0
238.97,255.0
241.21,255.0
242.83,255.0
244.26,255.0
245.47,255.0
246.47,255.0
247.25,255.0
248.3,255.0
248.9,255.0
249.35,255.0
249.73,255.0
250.04,255.0
250.2,255.0
250.04,255.0
250.04,255.0
249.78,255.0
249.39,255.0
248.79,255.0
248.25,255.0
247.64,255.0
246.95,255.0
246.24,255.0
245.36,255.0
244.42,255.0
243.54,255.0
242.51,255.0
241.41,255.0
240.15,255.0
238.83,255.0
237.55,255.0
236.0,255.0
234.36,255.0
232.64,255.0
230.96,255.0
229.21,255.0
227.42,255.0
225.39,255.0
223.22,255.0
220.96,255.0
218.63,255.0
216.19,255.0
213.71,255.0
211.2,255.0
208.66,255.0
206.1,255.0
203.52,255.0
200.96,240.0
198.44,230.0
195.83,215.0
192.68,200.0
189.41,185.0
186.0,165.0
182.43,150.0
178.67,130.0
174.8,110.0
170.84,90.0
166.79,70.0
162.71,50.0
158.62,30.0
154.52,0.0
150.42,0.0
146.38,0.0
142.42,5.0
138.54,14.0
134.75,27.0
131.05,42.0
127.44,62.0
123.98,87.0
120.67,112.0
117.51,140.0
114.43,171.0
111.5,205.0
108.81,220.0
106.35,230.0
104.07,240.0
101.89,255.0
99.92,255.0
98.03,255.0
96.32,255.0
94.73,255.0
93.21,255.0
91.83,255.0
90.55,255.0
89.31,255.0
88.2,255.0
87.16,255.0
86.15,255.0
85.24,255.0
84.35,255.0
83.48,255.0
82.65,255.0
81.84,255.0
81.07,255.0
80.31,255.0
79.59,255.0
78.91,255.0
78.23,255.0
77.58,255.0
76.94,255.0
76.46,255.0
76.04,255.0
75.65,255.0
75.34,255.0
75.07,255.0
74.83,255.0
74.62,255.0
74.46,255.0
74.44,255.0
74.52,255.0
74.64,255.0
74.81,255.0
75.02,255.0
75.28,255.0
75.75,255.0
76.28,255.0
76.8,255.0
77.37,255.0
78.01,255.0
78.82,255.0
79.78,255.0
80.74,255.0
81.87,255.0
83.25,255.0
84.76,255.0
86.41,255.0
88.2,255.0
90.32,255.0
92.62,255.0
94.93,255.0
97.62,255.0
100.51,255.0
103.57,245.0
107.14,225.0
111.03,205.0
114.8,190.0
119.14,165.0
123.77,145.0
128.64,120.0
133.7,95.0
139.04,65.0
144.47,40.0
150.08,0.0
155.74,0.0
161.42,0.0
167.08,7.0
172.7,20.0
178.25,39.0
183.66,62.0
188.91,90.0
193.91,123.0
198.79,161.0
203.42,204.0
207.26,247.0
211.34,255.0
215.24,255.0
218.86,255.0
222.26,255.0
225.47,255.0
228.43,255.0
231.28,255.0
233.37,255.0
235.81,255.0
238.13,255.0
239.7,255.0
241.53,255.0
243.33,255.0
244.47,255.0
245.92,255.0
246.87,255.0
248.09,255.0
248.79,255.0
249.39,255.0
249.86,255.0
249.96,255.0
249.87,255.0
249.68,255.0
249.62,255.0
249.23,255.0
248.79,255.0
248.27,255.0
247.71,255.0
246.87,255.0
246.01,255.0
245.08,255.0
244.18,255.0
243.1,255.0
241.98,255.0
240.83,255.0
239.62,255.0
238.26,255.0
236.82,255.0
235.23,255.0
233.66,255.0
231.93,255.0
230.1,255.0
228.3,255.0
226.47,255.0
224.5,255.0
222.24,255.0
219.83,255.0
217.34,255.0
214.69,255.0
211.89,255.0
209.01,255.0
206.09,255.0
203.06,255.0
200.0,240.0
196.89,220.0
193.71,205.0
190.54,190.0
187.41,175.0
184.3,160.0
181.15,145.0
178.07,130.0
175.07,115.0
172.1,100.0
169.26,85.0
166.51,70.0
163.84,55.0
161.06,45.0
158.37,30.0
155.66,0.0
153.04,0.0
150.5,0.0
147.95,0.0
145.53,3.0
143.15,9.0
140.85,18.0
138.57,28.0
136.42,40.0
134.34,54.0
132.33,70.0
130.44,88.0
128.61,108.0
126.84,130.0
125.16,135.0
123.54,145.0
121.97,155.0
120.44,160.0
119.0,170.0
117.68,175.0
116.36,180.0
115.15,185.0
113.96,195.0
112.81,200.0
111.67,205.0
110.59,210.0
109.58,215.0
108.54,220.0
107.55,225.0
106.58,230.0
105.65,235.0
104.74,240.0
103.87,245.0
103.01,245.0
102.19,250.0
101.37,255.0
100.59,255.0
99.85,255.0
99.14,255.0
98.3,255.0
97.46,255.0
96.59,255.0
95.73,255.0
94.83,255.0
93.93,255.0
93.03,255.0
92.11,255.0
91.18,255.0
90.29,255.0
89.58,255.0
88.94,255.0
88.33,255.0
87.8,255.0
87.32,255.0
86.86,255.0
86.49,255.0
86.3,255.0
86.15,255.0
86.12,255.0
86.14,255.0
86.24,255.0
86.34,255.0
86.66,255.0
87.01,255.0
87.43,255.0
87.9,255.0
88.44,255.0
89.2,255.0
90.02,255.0
90.95,255.0
92.09,255.0
93.35,255.0
94.71,255.0
96.2,255.0
97.85,255.0
99.79,255.0
101.89,255.0
104.17,240.0
106.65,230.0
109.29,215.0
112.4,200.0
115.78,185.0
119.43,165.0
123.37,145.0
127.22,125.0
131.6,105.0
136.22,80.0
141.65,55.0
146.81,30.0
152.18,0.0
157.7,0.0
163.33,5.0
168.81,16.0
174.29,33.0
179.74,54.0
185.07,82.0
190.2,114.0
195.24,150.0
200.06,192.0
204.71,234.0
209.12,255.0
213.37,255.0
217.38,255.0
221.17,255.0
224.68,255.0
228.06,255.0
231.18,255.0
234.13,255.0
236.36,255.0
238.77,255.0
241.04,255.0
243.2,255.0
245.08,255.0
246.44,255.0
248.11,255.0
249.65,255.0
250.63,255.0
251.43,255.0
252.12,255.0
252.62,255.0
252.95,255.0
253.21,255.0
253.32,255.0
253.35,255.0
253.07,255.0
252.96,255.0
252.53,255.0
252.3,255.0
251.81,255.0
251.08,255.0
250.42,255.0
249.72,255.0
248.96,255.0
247.88,255.0
246.86,255.0
245.75,255.0
244.57,255.0
243.34,255.0
242.07,255.0
240.61,255.0
239.01,255.0
237.32,255.0
235.52,255.0
233.62,255.0
231.64,255.0
229.58,255.0
227.13,255.0
224.51,255.0
221.81,255.0
218.93,255.0
215.85,255.0
212.63,255.0
209.32,255.0
205.93,255.0
202.43,250.0
198.89,230.0
195.35,215.0
191.71,195.0
188.08,180.0
184.51,160.0
180.98,140.0
177.53,125.0
174.07,110.0
170.71,90.0
167.51,75.0
164.37,60.0
160.96,40.0
157.6,25.0
154.31,0.0
151.02,0.0
147.74,0.0
144.47,4.0
141.27,11.0
138.12,21.0
135.05,34.0
132.09,50.0
129.19,69.0
126.41,91.0
123.75,116.0
121.18,139.0
118.67,170.0
116.32,180.0
114.05,190.0
111.88,205.0
109.79,215.0
107.83,225.0
105.84,235.0
103.93,245.0
102.13,250.0
100.39,255.0
98.71,255.0
97.09,255.0
95.51,255.0
94.03,255.0
92.59,255.0
91.19,255.0
89.86,255.0
88.58,255.0
87.36,255.0
86.21,255.0
85.09,255.0
84.03,255.0
83.03,255.0
82.04,255.0
81.1,255.0
80.18,255.0
79.34,255.0
78.51,255.0
77.69,255.0
76.91,255.0
76.17,255.0
75.46,255.0
75.03,255.0
74.63,255.0
74.31,255.0
74.04,255.0
73.88,255.0
73.76,255.0
73.68,255.0
73.81,255.0
74.01,255.0
74.26,255.0
74.58,255.0
75.02,255.0
75.47,255.0
76.06,255.0
76.72,255.0
77.46,255.0
78.31,255.0
79.49,255.0
80.79,255.0
82.07,255.0
83.49,255.0
85.18,255.0
87.19,255.0
89.36,255.0
91.77,255.0
94.43,255.0
97.28,255.0
100.13,255.0
103.31,245.0
106.67,230.0
110.2,210.0
113.85,195.0
117.66,175.0
122.03,150.0
126.15,130.0
130.85,110.0
135.7,85.0
140.73,60.0
145.89,35.0
151.21,0.0
156.61,0.0
162.02,0.0
167.34,7.0
172.63,20.0
177.91,37.0
183.06,62.0
188.05,90.0
192.88,120.0
197.61,157.0
202.17,200.0
206.49,243.0
210.64,255.0
214.56,255.0
218.2,255.0
221.19,255.0
224.37,255.0
227.37,255.0
230.14,255.0
232.76,255.0
235.24,255.0
237.65,255.0
239.88,255.0
241.5,255.0
243.37,255.0
244.62,255.0
245.67,255.0
246.98,255.0
248.25,255.0
248.95,255.0
249.56,255.0
250.07,255.0
250.45,255.0
250.64,255.0
250.58,255.0
250.63,255.0
250.38,255.0
250.04,255.0
249.83,255.0
249.6,255.0
249.11,255.0
248.58,255.0
247.89,255.0
247.22,255.0
246.52,255.0
245.6,255.0
244.59,255.0
243.48,255.0
242.37,255.0
241.08,255.0
239.62,255.0
238.16,255.0
236.63,255.0
234.91,255.0
233.18,255.0
231.34,255.0
229.4,255.0
227.17,255.0
224.82,255.0
222.35,255.0
219.76,255.0
217.0,255.0
214.2,255.0
211.27,255.0
208.27,255.0
205.23,255.0
202.13,250.0
199.0,235.0
195.87,215.0
